,Id,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank,Load-Centrality,Katz-Centrality,MAUT
1131,5213,0.028269643,0.476178017,0.001291743,0.000390417,0.071990363,0.424919062,0.000240166,0.393672892,0.002367546,0.001291743,0.008409438,0.00128977,0.095679702,0.031363755
1135,5217,0.065960995,0.411160657,0.003746054,0.000634162,0.06484217,0.380227774,0.010014,0.16795552,0.011834334,0.003746054,0.031890864,0.003452926,0.097318926,0.015698359
1137,5219,0.022380361,0.424963792,0.000261329,0.000486678,0.064190924,0.383879268,0.000906705,0.060249755,0.00118231,0.000261329,0.072835484,0.00026811,0.083173959,0.078387117
1138,5220,0.036514614,0.436659075,0.002136344,0.000599883,0.066849606,0.397360986,0.000340125,0.181112638,0.002367546,0.002136344,0.107253648,0.002163157,0.106295925,0.407550585
1147,5230,0.050648868,0.503809728,0.012742545,0.001036607,0.078091596,0.456591764,0.002445891,0.437698889,0.003550294,0.012742545,0.019256394,0.012770242,0.12662806,0.078387117
1150,5233,0.007068234,0.003450441,2.76e-06,1.11e-13,0.000911656,0.003252672,9.64e-07,0.000191249,0.003550294,2.76e-06,0.064124606,2.82e-06,0.003908459,0.015698359
1152,5235,0.011779671,0.004692603,4.06e-06,1.11e-13,0.001363807,0.004237426,9.64e-07,0.000191665,0.003550294,4.06e-06,0.08733628,4.15e-06,0.006828458,0.031363755
1154,5237,0.009423952,0.00418982,1.68e-06,1.11e-13,0.001155095,0.003939016,1.92e-06,7.48e-07,0.002367546,1.68e-06,0.062019809,1.72e-06,0.005904407,0.078387117
1156,5239,0.036514614,0.416208835,0.005325954,0.000522031,0.063828162,0.366363227,0.004604025,0.05409236,0.018934922,0.005325954,0.004428158,0.00534188,0.035301635,0.015698359
1158,5242,0.043581741,0.487786154,0.012553056,0.000299696,0.074682188,0.443905445,0.003370288,0.162597631,0.00828401,0.012553056,0.041317154,0.012868448,0.106200254,0.031363755
1162,5246,0.035336769,0.371279873,0.003269103,0.000142133,0.056787588,0.340689087,0.006601119,0.321401042,0.004733716,0.003269103,0.04888971,0.003199035,0.079667052,0.0
1163,5247,0.043581741,0.10754588,9.59e-05,4.62e-13,0.018306313,0.093384118,0.007941273,0.00101861,0.043786982,9.59e-05,0.000162501,0.000110697,0.001396757,0.188108526
1166,5250,0.009423952,0.327398406,0.000180844,0.000137573,0.048797949,0.289185499,0.00111016,0.106288442,0.002367546,0.000180844,0.003128148,0.000190927,0.020480197,0.0
1174,5258,0.015313234,0.011519745,8.77e-06,1.0100000000000001e-31,0.00256976,0.010862135,2e-07,6.69e-05,0.00118231,8.77e-06,0.058819754,8.97e-06,0.011957921,0.0
1182,5267,0.00353467,0.132912718,0.001043331,7.66e-13,0.019760962,0.113683636,8.050000000000001e-21,0.104606696,0.00118231,0.001043331,0.003209399,0.001096812,0.003749232,0.0
1187,5272,0.036514614,0.336319348,0.001202314,1.82e-05,0.051571661,0.291901789,0.002720114,0.016214612,0.026035511,0.001202314,0.005728168,0.001350704,0.017035145,0.219457177
1188,5273,0.018846797,0.289303839,0.000868449,5.26e-06,0.043631676,0.274028073,0.000410892,0.033011286,0.004733716,0.000868449,0.050091001,0.000930259,0.022351073,0.04703808
